Longitude,Latitude,Description
19.058002,47.473852,0
19.058002,47.47385,1
19.058002,47.47385,2
19.058002,47.473848,3
19.058002,47.473848,4
19.058003,47.473845,5
19.058003,47.473845,6
19.058003,47.473845,7
19.058003,47.473845,8
19.058003,47.473845,9
19.058003,47.473843,10
19.058003,47.473843,11
19.058002,47.473843,12
19.058002,47.473843,13
19.058003,47.473843,14
19.058003,47.473843,15
19.058005,47.473845,16
19.058005,47.473845,17
19.058007,47.473847,18
19.058007,47.473847,19
19.058007,47.473847,20
19.058007,47.473847,21
19.058008,47.473848,22
19.058008,47.473848,23
19.058008,47.47385,24
19.058008,47.47385,25
19.058007,47.473852,26
19.058007,47.473852,27
19.058005,47.473853,28
19.058005,47.473853,29
19.058005,47.473857,30
19.058005,47.473857,31
19.058005,47.473857,32
19.058005,47.473858,33
19.058005,47.473858,34
19.058003,47.473860,35
19.058003,47.473860,36
19.058003,47.473865,37
19.058003,47.473865,38
19.058003,47.473870,39
19.058003,47.473870,40
19.058010,47.473877,41
19.058010,47.473877,42
19.058010,47.473877,43
19.058010,47.473877,44
19.058008,47.473878,45
19.058008,47.473878,46
19.058008,47.473875,47
19.058008,47.473875,48
19.058007,47.473878,49
19.058007,47.473878,50
19.058007,47.473880,51
19.058007,47.473880,52
19.058007,47.47388,53
19.058007,47.47388,54
19.058007,47.47388,55
19.058007,47.47388,56
19.058007,47.47388,57
19.058007,47.47388,58
19.058008,47.47388,59
19.058008,47.47388,60
19.058007,47.473885,61
19.058007,47.473885,62
19.058008,47.473885,63
19.058008,47.473885,64
19.058007,47.473888,65
19.058007,47.473888,66
19.058007,47.473888,67
19.058003,47.473892,68
19.058003,47.473892,69
19.058002,47.473895,70
19.058002,47.473895,71
19.058002,47.473898,72
19.058002,47.473898,73
19.058003,47.47390,74
19.058003,47.47390,75
19.058003,47.473905,76
19.058003,47.473905,77
19.058003,47.473920,78
19.058003,47.473920,79
19.058003,47.473920,80
19.058003,47.473923,81
19.058003,47.473923,82
19.058003,47.473940,83
19.058003,47.473940,84
19.057997,47.473940,85
19.057997,47.473940,86
19.057995,47.473940,87
19.057988,47.473953,88
19.057988,47.473953,89
19.057990,47.473955,90
19.057990,47.473955,91
19.057988,47.473957,92
19.057990,47.473965,93
